iter	Passed	Remaining
0	54	54530
1	97	48502
2	135	44930
3	162	40407
4	188	37419
5	211	35057
6	233	33092
7	255	31706
8	275	30380
9	297	29493
10	321	28899
11	342	28238
12	363	27585
13	386	27230
14	408	26842
15	435	26768
16	458	26491
17	483	26399
18	505	26083
19	526	25810
20	548	25588
21	571	25390
22	590	25103
23	613	24932
24	640	24985
25	665	24921
26	686	24733
27	711	24710
28	737	24706
29	759	24550
30	782	24466
31	803	24312
32	826	24227
33	850	24152
34	875	24128
35	901	24135
36	922	24010
37	945	23946
38	966	23820
39	988	23712
40	1011	23657
41	1032	23548
42	1055	23480
43	1077	23417
44	1099	23333
45	1120	23248
46	1146	23240
47	1170	23217
48	1195	23193
49	1218	23154
50	1242	23124
51	1263	23042
52	1285	22976
53	1310	22949
54	1330	22860
55	1351	22790
56	1377	22783
57	1400	22738
58	1423	22702
59	1443	22610
60	1464	22541
61	1486	22490
62	1511	22477
63	1532	22420
64	1557	22400
65	1578	22342
66	1601	22308
67	1624	22269
68	1645	22206
69	1664	22117
70	1689	22107
71	1712	22075
72	1735	22042
73	1757	21989
74	1779	21942
75	1802	21919
76	1825	21879
77	1846	21826
78	1870	21801
79	1892	21766
80	1913	21714
81	1937	21691
82	1960	21657
83	1982	21618
84	2004	21582
85	2025	21528
86	2046	21480
87	2070	21455
88	2091	21405
89	2115	21388
90	2135	21328
91	2157	21297
92	2182	21285
93	2203	21240
94	2225	21199
95	2249	21186
96	2271	21143
97	2292	21099
98	2316	21080
99	2338	21042
100	2359	21000
101	2386	21006
102	2410	20990
103	2433	20967
104	2454	20923
105	2476	20884
106	2500	20872
107	2522	20837
108	2547	20822
109	2570	20794
110	2593	20769
111	2617	20750
112	2640	20725
113	2668	20738
114	2691	20712
115	2712	20670
116	2733	20628
117	2756	20606
118	2777	20565
119	2799	20527
120	2821	20495
121	2843	20467
122	2864	20427
123	2886	20389
124	2908	20362
125	2929	20323
126	2951	20288
127	2974	20266
128	2996	20232
129	3017	20196
130	3038	20158
131	3060	20126
132	3082	20095
133	3107	20084
134	3129	20049
135	3152	20028
136	3176	20008
137	3197	19975
138	3220	19949
139	3240	19908
140	3262	19874
141	3284	19843
142	3307	19820
143	3327	19778
144	3349	19752
145	3372	19726
146	3396	19707
147	3421	19695
148	3444	19671
149	3468	19653
150	3490	19625
151	3514	19606
152	3536	19579
153	3560	19559
154	3579	19515
155	3600	19479
156	3621	19443
157	3643	19415
158	3665	19389
159	3688	19364
160	3709	19332
161	3732	19306
162	3753	19273
163	3775	19245
164	3798	19220
165	3818	19186
166	3842	19164
167	3865	19141
168	3886	19109
169	3909	19085
170	3931	19058
